"Kod";"Nazwa";"sadzenie drzew;ogółem;2016;[szt.]";"sadzenie drzew;ogółem;2017;[szt.]";"sadzenie drzew;ogółem;2018;[szt.]";"sadzenie drzew;ogółem;2019;[szt.]";"sadzenie drzew;ogółem;2020;[szt.]";"sadzenie drzew;ogółem;2021;[szt.]";"sadzenie drzew;ogółem;2022;[szt.]";"sadzenie drzew;ogółem;2023;[szt.]";"sadzenie drzew;ogółem;2024;[szt.]";
0000000;"POLSKA";1513818;1171444;567523;583207;332263;461989;558918;380512;;
0200000;"DOLNOŚLĄSKIE";36424;42900;39670;31198;16653;21927;178225;92481;;
0400000;"KUJAWSKO-POMORSKIE";67682;47081;52704;45104;23950;23758;22948;21310;;
0600000;"LUBELSKIE";26662;20880;30575;63775;20493;30577;19764;25074;;
0800000;"LUBUSKIE";4933;25310;4340;10689;6548;5554;72680;8347;;
1000000;"ŁÓDZKIE";759451;506767;36255;17853;16712;63062;17766;18050;;
1200000;"MAŁOPOLSKIE";96162;51592;40612;52021;41664;35852;28575;21766;;
1400000;"MAZOWIECKIE";33774;32528;26940;37526;36771;19612;20276;26002;;
1600000;"OPOLSKIE";10280;12493;6651;6151;8592;10562;6505;5873;;
1800000;"PODKARPACKIE";40709;22340;14569;29040;11127;19262;17793;12259;;
2000000;"PODLASKIE";15474;6009;8071;84742;6299;9305;7620;9975;;
2200000;"POMORSKIE";15467;21654;15141;13987;25980;18547;11091;12816;;
2400000;"ŚLĄSKIE";25426;21725;28113;32964;14274;58642;27666;45966;;
2600000;"ŚWIĘTOKRZYSKIE";38302;10572;11017;55818;29826;66541;11275;9140;;
2800000;"WARMIŃSKO-MAZURSKIE";31314;37855;52363;28036;23649;23331;31771;25782;;
3000000;"WIELKOPOLSKIE";300439;295399;189545;51573;33379;33429;28743;32064;;
3200000;"ZACHODNIOPOMORSKIE";11319;16339;10957;22730;16346;22028;56220;13607;;
