"Kod";"Nazwa";"ogółem;1998;[ha]";"ogółem;1999;[ha]";"ogółem;2000;[ha]";"ogółem;2001;[ha]";"ogółem;2002;[ha]";"ogółem;2003;[ha]";"ogółem;2004;[ha]";"ogółem;2005;[ha]";"ogółem;2006;[ha]";"ogółem;2007;[ha]";"ogółem;2008;[ha]";"ogółem;2009;[ha]";"ogółem;2010;[ha]";"ogółem;2011;[ha]";"ogółem;2012;[ha]";"ogółem;2013;[ha]";"ogółem;2014;[ha]";"ogółem;2015;[ha]";"ogółem;2016;[ha]";"ogółem;2017;[ha]";"ogółem;2018;[ha]";"ogółem;2019;[ha]";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem;2023;[ha]";"ogółem;2024;[ha]";
0000000;"POLSKA";1590621,60;1600634,20;1605211,10;1626307,40;1637015,90;1646049,70;1656001,00;1673438,70;1690901,60;1707118,70;1720933,60;1740186,80;1771711,80;1792029,00;1810736,10;1823916,13;1837092,04;1851520,09;1860004,62;1868561,73;1874756,44;1873221,86;1872164,54;1872294,06;1870153,17;1866426,31;;
0200000;"DOLNOŚLĄSKIE";19477,60;19586,70;19813,10;19960,20;20198,00;20444,90;20842,90;21355,70;21707,10;22096,70;22373,70;22879,80;23698,70;24419,10;25479,80;26171,50;26934,01;27785,66;28067,79;28168,28;28420,33;28652,24;29255,66;29391,58;29603,80;29485,13;;
0400000;"KUJAWSKO-POMORSKIE";43357,70;44114,90;44157,80;46670,90;46997,40;47303,10;47357,20;47745,30;48255,10;49317,80;49646,80;50245,70;51128,50;51695,50;52453,10;52616,62;52632,33;52729,53;53017,54;53186,94;53302,86;53390,76;53458,53;52881,84;52261,17;51979,96;;
0600000;"LUBELSKIE";209537,30;209064,10;209450,90;215191,40;217050,90;218346,50;219871,30;221616,60;223191,90;225347,40;225927,20;229578,80;233473,40;235650,90;236478,20;237763,23;239431,41;240441,93;241918,53;242339,53;242961,31;240792,69;242566,02;243274,28;244171,62;243300,39;;
0800000;"LUBUSKIE";9687,30;9754,70;9670,80;9854,60;10001,50;10064,20;10100,90;10263,10;10081,20;10202,40;10529,90;10895,80;11645,00;12487,60;13502,30;13865,05;14217,26;14543,88;14759,45;15040,15;15052,06;15003,21;15208,16;15284,88;15395,44;15391,99;;
1000000;"ŁÓDZKIE";120252,10;120917,60;121594,30;123014,20;123734,30;123996,60;124607,60;126158,80;127287,80;130227,40;131115,40;130729,70;132697,20;132544,80;134757,90;136145,90;136118,96;136334,19;137281,40;139035,85;138967,42;139044,29;137175,17;136957,07;136943,70;136887,50;;
1200000;"MAŁOPOLSKIE";197996,00;198080,70;197900,70;197963,50;197426,20;199395,30;199573,50;199552,30;199009,50;199109,80;199343,50;199724,20;200531,20;201773,60;200991,90;201369,84;201751,25;202056,83;202140,16;202078,00;201366,39;201241,09;201200,81;201002,40;200739,67;201629,99;;
1400000;"MAZOWIECKIE";323215,30;325556,10;326000,90;330889,10;331787,70;332666,50;332622,50;335150,10;339984,60;341754,80;344884,10;348887,40;355692,80;357256,00;361467,00;363398,29;367562,79;373649,91;373949,87;375196,03;376295,59;379481,59;377342,47;376442,01;374817,76;373873,05;;
1600000;"OPOLSKIE";11971,00;12020,50;12021,00;12040,40;12050,30;12200,00;12252,80;12439,50;12746,70;12824,00;13240,50;13047,10;13121,90;13205,50;13435,30;13682,80;13799,76;13928,77;13991,00;14428,31;14467,73;14475,44;14484,38;14493,63;14490,26;14425,86;;
1800000;"PODKARPACKIE";117525,20;120279,00;120866,20;121989,20;123367,40;122306,30;123205,40;124744,80;126687,50;128268,40;130682,90;133914,10;137417,30;142254,60;144298,80;145368,56;147198,01;148520,97;149495,97;150501,40;151096,71;149814,84;149242,58;149633,68;150124,87;150093,11;;
2000000;"PODLASKIE";185413,20;185521,60;185638,40;186246,70;186583,30;187003,20;188276,60;190963,90;194358,70;195431,80;196369,70;198281,20;200299,30;201276,80;202382,40;202934,50;203733,25;204526,96;204878,07;205101,90;208034,61;206484,96;207325,04;207659,64;207882,19;207531,12;;
2200000;"POMORSKIE";68738,30;69600,70;69887,10;70717,90;71372,70;71483,90;72124,80;72955,00;73150,20;73704,50;74495,30;75657,00;77064,60;77644,00;78672,30;79668,31;79798,38;79969,61;80700,38;80974,43;80977,84;80658,79;80849,39;80894,23;80552,96;79960,37;;
2400000;"ŚLĄSKIE";79473,70;80549,20;80612,10;80547,10;81467,00;82105,10;81996,90;82219,60;82063,80;82522,80;82494,80;82461,80;82531,50;82538,00;82558,10;82843,14;83193,12;82977,35;82716,41;82701,23;82872,54;82733,42;82843,72;83535,06;83283,33;82980,39;;
2600000;"ŚWIĘTOKRZYSKIE";79812,40;79733,70;79978,00;80171,20;81272,80;83440,40;86505,60;88024,50;88558,20;90006,80;91290,20;91331,90;92691,20;93485,90;94179,40;95174,42;95676,15;96106,15;96701,06;97037,14;97377,15;96702,34;96310,00;96723,13;96460,23;96106,90;;
2800000;"WARMIŃSKO-MAZURSKIE";34556,20;34961,60;35486,90;36871,80;37544,10;38099,20;38586,30;40609,00;42785,10;44095,10;45239,70;47529,40;52903,30;56227,50;58597,60;60375,88;61510,96;62678,17;64626,06;65758,30;66330,08;66662,20;66927,01;66968,30;66932,64;66847,20;;
3000000;"WIELKOPOLSKIE";77596,20;78557,00;79429,90;81245,60;81905,50;82773,50;83249,10;84174,50;84964,50;85445,10;85896,30;86871,80;87181,20;88328,20;89040,30;89465,35;89888,17;90345,12;90346,22;90846,14;90822,88;91442,89;90501,98;89713,68;89500,05;88861,68;;
3200000;"ZACHODNIOPOMORSKIE";12012,10;12336,10;12703,00;12933,60;14256,80;14421,00;14827,60;15466,00;16069,70;16763,90;17403,60;18151,10;19634,70;21241,00;22441,70;23072,74;23646,23;24925,06;25414,71;26168,10;26410,94;26641,11;27473,62;27438,65;26993,48;27071,67;;
